pokemonId,type,type2,baseAttack,baseDefense,baseStamina,pokedexHeightM,pokedexWeightKg,candyToEvolve,kmBuddyDistance,thirdMoveStardustToUnlock,thirdMoveCandyToUnlock,shadowPurificationStardustNeeded,shadowPurificationCandyNeeded,quickMoves,cinematicMoves,eliteQuickMove,eliteCinematicMove,megaId,megaAttack,megaDefense,megaStamina,megaHeightM,megaWeightKg,megaType1,megaType2,pokedexNumber,form
FEAROW,NORMAL,FLYING,182.0,133.0,163.0,1.2,38.0,,1.0,10000.0,25.0,,,"['PECK_FAST', 'STEEL_WING_FAST']","['AERIAL_ACE', 'DRILL_RUN', 'SKY_ATTACK', 'FLY']",,['TWISTER'],,,,,,,,,0022,POKEMON_FEAROW
EKANS,POISON,,110.0,97.0,111.0,2.0,6.9,50.0,3.0,50000.0,50.0,3000.0,3.0,"['POISON_STING_FAST', 'ACID_FAST']","['WRAP', 'POISON_FANG', 'SLUDGE_BOMB']",,['GUNK_SHOT'],,,,,,,,,0023,POKEMON_EKANS
ARBOK,POISON,,167.0,153.0,155.0,3.5,65.0,,3.0,50000.0,50.0,3000.0,3.0,"['BITE_FAST', 'ACID_FAST', 'DRAGON_TAIL_FAST']","['DARK_PULSE', 'SLUDGE_WAVE', 'GUNK_SHOT', 'ACID_SPRAY']",,,,,,,,,,,0024,POKEMON_ARBOK
PIKACHU,ELECTRIC,,112.0,96.0,111.0,0.4,6.0,50.0,1.0,10000.0,25.0,,,"['THUNDER_SHOCK_FAST', 'QUICK_ATTACK_FAST']","['DISCHARGE', 'THUNDERBOLT', 'WILD_CHARGE']",['PRESENT_FAST'],"['SURF', 'THUNDER']",,,,,,,,,0025,POKEMON_PIKACHU
RAICHU,ELECTRIC,,193.0,151.0,155.0,0.8,30.0,,1.0,10000.0,25.0,,,"['VOLT_SWITCH_FAST', 'SPARK_FAST', 'CHARM_FAST', 'THUNDER_SHOCK_FAST']","['BRICK_BREAK', 'THUNDER_PUNCH', 'WILD_CHARGE', 'SKULL_BASH', 'TRAILBLAZE']",,['THUNDER'],,,,,,,,,0026,POKEMON_RAICHU
RAICHU,ELECTRIC,PSYCHIC,201.0,154.0,155.0,0.7,21.0,,1.0,10000.0,25.0,,,"['VOLT_SWITCH_FAST', 'SPARK_FAST', 'THUNDER_SHOCK_FAST']","['PSYCHIC', 'THUNDER_PUNCH', 'WILD_CHARGE', 'GRASS_KNOT', 'TRAILBLAZE']",,,,,,,,,,,0026,POKEMON_RAICHU_ALOLA
SANDSHREW,GROUND,,126.0,120.0,137.0,0.6,12.0,50.0,3.0,50000.0,50.0,3000.0,3.0,"['SCRATCH_FAST', 'MUD_SHOT_FAST', 'SAND_ATTACK_FAST']","['DIG', 'ROCK_SLIDE', 'SAND_TOMB']",,['ROCK_TOMB'],,,,,,,,,0027,POKEMON_SANDSHREW
SANDSHREW,ICE,STEEL,125.0,129.0,137.0,0.7,40.0,50.0,3.0,50000.0,50.0,3000.0,3.0,"['METAL_CLAW_FAST', 'POWDER_SNOW_FAST']","['BLIZZARD', 'GYRO_BALL', 'NIGHT_SLASH']",,,,,,,,,,,0027,POKEMON_SANDSHREW_ALOLA
SANDSLASH,GROUND,,182.0,175.0,181.0,1.0,29.5,,3.0,50000.0,50.0,3000.0,3.0,"['METAL_CLAW_FAST', 'MUD_SHOT_FAST', 'SAND_ATTACK_FAST']","['EARTHQUAKE', 'ROCK_TOMB', 'BULLDOZE', 'SCORCHING_SANDS']",,['NIGHT_SLASH'],,,,,,,,,0028,POKEMON_SANDSLASH
SANDSLASH,ICE,STEEL,177.0,195.0,181.0,1.2,55.0,,3.0,50000.0,50.0,3000.0,3.0,"['METAL_CLAW_FAST', 'POWDER_SNOW_FAST']","['BLIZZARD', 'GYRO_BALL', 'BULLDOZE', 'ICE_PUNCH', 'DRILL_RUN', 'AERIAL_ACE']",['SHADOW_CLAW_FAST'],,,,,,,,,,0028,POKEMON_SANDSLASH_ALOLA
NIDORAN_FEMALE,POISON,,86.0,89.0,146.0,0.4,7.0,25.0,3.0,50000.0,50.0,3000.0,3.0,"['BITE_FAST', 'POISON_STING_FAST']","['POISON_FANG', 'BODY_SLAM', 'SLUDGE_BOMB']",,,,,,,,,,,0029,POKEMON_NIDORAN
NIDORINA,POISON,,117.0,120.0,172.0,0.8,20.0,100.0,3.0,50000.0,50.0,3000.0,3.0,"['BITE_FAST', 'POISON_STING_FAST']","['POISON_FANG', 'DIG', 'SLUDGE_BOMB', 'THUNDERBOLT']",,,,,,,,,,,0030,POKEMON_NIDORINA
NIDOQUEEN,POISON,GROUND,180.0,173.0,207.0,1.3,60.0,,3.0,50000.0,50.0,3000.0,3.0,"['POISON_JAB_FAST', 'BITE_FAST']","['EARTHQUAKE', 'SLUDGE_WAVE', 'STONE_EDGE', 'EARTH_POWER', 'POISON_FANG']",,,,,,,,,,,0031,POKEMON_NIDOQUEEN
NIDORAN_MALE,POISON,,105.0,76.0,130.0,0.5,9.0,25.0,3.0,50000.0,50.0,3000.0,3.0,"['PECK_FAST', 'POISON_STING_FAST']","['HORN_ATTACK', 'BODY_SLAM', 'SLUDGE_BOMB']",,,,,,,,,,,0032,POKEMON_NIDORAN
NIDORINO,POISON,,137.0,111.0,156.0,0.9,19.5,100.0,3.0,50000.0,50.0,3000.0,3.0,"['POISON_JAB_FAST', 'POISON_STING_FAST']","['HORN_ATTACK', 'DIG', 'SLUDGE_BOMB', 'ICE_BEAM']",,,,,,,,,,,0033,POKEMON_NIDORINO
NIDOKING,POISON,GROUND,204.0,156.0,191.0,1.4,62.0,,3.0,50000.0,50.0,3000.0,3.0,"['POISON_JAB_FAST', 'IRON_TAIL_FAST', 'DOUBLE_KICK_FAST']","['EARTHQUAKE', 'SLUDGE_WAVE', 'MEGAHORN', 'EARTH_POWER', 'SAND_TOMB']",['FURY_CUTTER_FAST'],,,,,,,,,,0034,POKEMON_NIDOKING
CLEFAIRY,FAIRY,,107.0,108.0,172.0,0.6,7.5,50.0,1.0,10000.0,25.0,,,"['POUND_FAST', 'ZEN_HEADBUTT_FAST']","['DISARMING_VOICE', 'BODY_SLAM', 'MOONBLAST', 'SWIFT']",,,,,,,,,,,0035,POKEMON_CLEFAIRY
CLEFABLE,FAIRY,,178.0,162.0,216.0,1.3,40.0,,1.0,10000.0,25.0,,,"['CHARGE_BEAM_FAST', 'ZEN_HEADBUTT_FAST', 'CHARM_FAST', 'FAIRY_WIND_FAST']","['DAZZLING_GLEAM', 'PSYCHIC', 'MOONBLAST', 'METEOR_MASH', 'SWIFT', 'DRAINING_KISS']",['POUND_FAST'],,,,,,,,,,0036,POKEMON_CLEFABLE
VULPIX,FIRE,,96.0,109.0,116.0,0.6,9.9,50.0,3.0,50000.0,50.0,3000.0,3.0,"['QUICK_ATTACK_FAST', 'EMBER_FAST']","['BODY_SLAM', 'FLAMETHROWER', 'FLAME_CHARGE', 'WEATHER_BALL_FIRE']",,,,,,,,,,,0037,POKEMON_VULPIX
VULPIX,ICE,,96.0,109.0,116.0,0.6,9.9,50.0,3.0,50000.0,50.0,3000.0,3.0,"['ZEN_HEADBUTT_FAST', 'POWDER_SNOW_FAST']","['DARK_PULSE', 'ICE_BEAM', 'BLIZZARD', 'WEATHER_BALL_ICE']",,,,,,,,,,,0037,POKEMON_VULPIX_ALOLA
NINETALES,FIRE,,169.0,190.0,177.0,1.1,19.9,,3.0,50000.0,50.0,3000.0,3.0,"['FEINT_ATTACK_FAST', 'FIRE_SPIN_FAST']","['HEAT_WAVE', 'OVERHEAT', 'SOLAR_BEAM', 'PSYSHOCK', 'WEATHER_BALL_FIRE', 'SCORCHING_SANDS']",['EMBER_FAST'],"['FIRE_BLAST', 'FLAMETHROWER']",,,,,,,,,0038,POKEMON_NINETALES
NINETALES,ICE,FAIRY,170.0,193.0,177.0,1.1,19.9,,3.0,50000.0,50.0,3000.0,3.0,"['FEINT_ATTACK_FAST', 'POWDER_SNOW_FAST', 'CHARM_FAST']","['DAZZLING_GLEAM', 'ICE_BEAM', 'BLIZZARD', 'PSYSHOCK', 'WEATHER_BALL_ICE']",,,,,,,,,,,0038,POKEMON_NINETALES_ALOLA
JIGGLYPUFF,NORMAL,FAIRY,80.0,41.0,251.0,0.5,5.5,50.0,1.0,10000.0,25.0,,,"['POUND_FAST', 'FEINT_ATTACK_FAST']","['DISARMING_VOICE', 'GYRO_BALL', 'DAZZLING_GLEAM', 'SWIFT']",,"['PLAY_ROUGH', 'BODY_SLAM']",,,,,,,,,0039,POKEMON_JIGGLYPUFF
WIGGLYTUFF,NORMAL,FAIRY,156.0,90.0,295.0,1.0,12.0,,1.0,10000.0,25.0,,,"['POUND_FAST', 'FEINT_ATTACK_FAST', 'CHARM_FAST']","['DAZZLING_GLEAM', 'HYPER_BEAM', 'PLAY_ROUGH', 'ICE_BEAM', 'DISARMING_VOICE', 'ICY_WIND', 'SWIFT']",,,,,,,,,,,0040,POKEMON_WIGGLYTUFF
ZUBAT,POISON,FLYING,83.0,73.0,120.0,0.8,7.5,50.0,1.0,10000.0,25.0,1000.0,1.0,"['QUICK_ATTACK_FAST', 'BITE_FAST']","['POISON_FANG', 'AIR_CUTTER', 'SWIFT']",,['SLUDGE_BOMB'],,,,,,,,,0041,POKEMON_ZUBAT
GOLBAT,POISON,FLYING,161.0,150.0,181.0,1.6,55.0,,1.0,10000.0,25.0,1000.0,1.0,"['WING_ATTACK_FAST', 'BITE_FAST']","['SHADOW_BALL', 'AIR_CUTTER', 'POISON_FANG']",,['OMINOUS_WIND'],,,,,,,,,0042,POKEMON_GOLBAT
ODDISH,GRASS,POISON,131.0,112.0,128.0,0.5,5.4,25.0,3.0,50000.0,50.0,3000.0,3.0,"['RAZOR_LEAF_FAST', 'ACID_FAST']","['SEED_BOMB', 'SLUDGE_BOMB', 'MOONBLAST']",,,,,,,,,,,0043,POKEMON_ODDISH
GLOOM,GRASS,POISON,153.0,136.0,155.0,0.8,8.6,100.0,3.0,50000.0,50.0,3000.0,3.0,"['RAZOR_LEAF_FAST', 'ACID_FAST']","['PETAL_BLIZZARD', 'SLUDGE_BOMB', 'MOONBLAST']",,,,,,,,,,,0044,POKEMON_GLOOM
VILEPLUME,GRASS,POISON,202.0,167.0,181.0,1.2,18.6,,3.0,50000.0,50.0,3000.0,3.0,"['RAZOR_LEAF_FAST', 'ACID_FAST']","['PETAL_BLIZZARD', 'SOLAR_BEAM', 'MOONBLAST', 'SLUDGE_BOMB']",,,,,,,,,,,0045,POKEMON_VILEPLUME
PARAS,BUG,GRASS,121.0,99.0,111.0,0.3,5.4,50.0,3.0,50000.0,50.0,,,"['SCRATCH_FAST', 'BUG_BITE_FAST']","['CROSS_POISON', 'X_SCISSOR', 'SEED_BOMB']",,,,,,,,,,,0046,POKEMON_PARAS
PARASECT,BUG,GRASS,165.0,146.0,155.0,1.0,29.5,,3.0,50000.0,50.0,,,"['STRUGGLE_BUG_FAST', 'FURY_CUTTER_FAST']","['CROSS_POISON', 'X_SCISSOR', 'SOLAR_BEAM']",['BUG_BITE_FAST'],,,,,,,,,,0047,POKEMON_PARASECT
VENONAT,BUG,POISON,100.0,100.0,155.0,1.0,30.0,50.0,3.0,50000.0,50.0,3000.0,3.0,"['BUG_BITE_FAST', 'CONFUSION_FAST']","['POISON_FANG', 'PSYBEAM', 'SIGNAL_BEAM']",,,,,,,,,,,0048,POKEMON_VENONAT
VENOMOTH,BUG,POISON,179.0,143.0,172.0,1.5,12.5,,3.0,50000.0,50.0,3000.0,3.0,"['INFESTATION_FAST', 'CONFUSION_FAST']","['SILVER_WIND', 'PSYCHIC', 'BUG_BUZZ', 'POISON_FANG']",['BUG_BITE_FAST'],,,,,,,,,,0049,POKEMON_VENOMOTH
DIGLETT,GROUND,,109.0,78.0,67.0,0.2,0.8,50.0,3.0,50000.0,50.0,3000.0,3.0,"['MUD_SLAP_FAST', 'SCRATCH_FAST', 'MUD_SHOT_FAST']","['DIG', 'MUD_BOMB', 'ROCK_TOMB']",,,,,,,,,,,0050,POKEMON_DIGLETT
DIGLETT,GROUND,STEEL,108.0,81.0,67.0,0.2,1.0,50.0,3.0,50000.0,50.0,3000.0,3.0,"['MUD_SLAP_FAST', 'METAL_CLAW_FAST', 'SAND_ATTACK_FAST']","['DIG', 'MUD_BOMB', 'ROCK_TOMB']",,,,,,,,,,,0050,POKEMON_DIGLETT_ALOLA
DUGTRIO,GROUND,,167.0,134.0,111.0,0.7,33.3,,3.0,50000.0,50.0,3000.0,3.0,"['SUCKER_PUNCH_FAST', 'MUD_SLAP_FAST', 'MUD_SHOT_FAST']","['EARTHQUAKE', 'MUD_BOMB', 'STONE_EDGE']",,,,,,,,,,,0051,POKEMON_DUGTRIO
DUGTRIO,GROUND,STEEL,201.0,142.0,111.0,0.7,66.6,,3.0,50000.0,50.0,3000.0,3.0,"['METAL_CLAW_FAST', 'MUD_SLAP_FAST', 'SAND_ATTACK_FAST']","['EARTHQUAKE', 'MUD_BOMB', 'IRON_HEAD']",,,,,,,,,,,0051,POKEMON_DUGTRIO_ALOLA
MEOWTH,NORMAL,,92.0,78.0,120.0,0.4,4.2,50.0,3.0,50000.0,50.0,3000.0,3.0,"['SCRATCH_FAST', 'BITE_FAST']","['NIGHT_SLASH', 'DARK_PULSE', 'FOUL_PLAY']",,['BODY_SLAM'],,,,,,,,,0052,POKEMON_MEOWTH
MEOWTH,DARK,,99.0,78.0,120.0,0.4,4.2,50.0,3.0,50000.0,50.0,3000.0,3.0,"['SCRATCH_FAST', 'BITE_FAST']","['NIGHT_SLASH', 'DARK_PULSE', 'FOUL_PLAY', 'TRAILBLAZE']",,,,,,,,,,,0052,POKEMON_MEOWTH_ALOLA
MEOWTH,STEEL,,115.0,92.0,137.0,0.4,7.5,50.0,3.0,50000.0,50.0,3000.0,3.0,"['SCRATCH_FAST', 'METAL_CLAW_FAST']","['NIGHT_SLASH', 'GYRO_BALL', 'DIG', 'TRAILBLAZE']",,,,,,,,,,,0052,POKEMON_MEOWTH_GALARIAN
PERSIAN,NORMAL,,150.0,136.0,163.0,1.0,32.0,,3.0,50000.0,50.0,3000.0,3.0,"['SCRATCH_FAST', 'FEINT_ATTACK_FAST']","['FOUL_PLAY', 'POWER_GEM', 'PLAY_ROUGH', 'PAYBACK']",,['NIGHT_SLASH'],,,,,,,,,0053,POKEMON_PERSIAN
PERSIAN,DARK,,158.0,136.0,163.0,1.1,33.0,,3.0,50000.0,50.0,3000.0,3.0,"['SCRATCH_FAST', 'FEINT_ATTACK_FAST']","['FOUL_PLAY', 'DARK_PULSE', 'PLAY_ROUGH', 'PAYBACK', 'TRAILBLAZE']",,,,,,,,,,,0053,POKEMON_PERSIAN_ALOLA
PSYDUCK,WATER,,122.0,95.0,137.0,0.8,19.6,50.0,3.0,50000.0,50.0,3000.0,3.0,"['WATER_GUN_FAST', 'ZEN_HEADBUTT_FAST']","['PSYBEAM', 'AQUA_TAIL', 'CROSS_CHOP']",,,,,,,,,,,0054,POKEMON_PSYDUCK
GOLDUCK,WATER,,191.0,162.0,190.0,1.7,76.6,,3.0,50000.0,50.0,3000.0,3.0,"['WATER_GUN_FAST', 'CONFUSION_FAST']","['PSYCHIC', 'HYDRO_PUMP', 'ICE_BEAM', 'BUBBLE_BEAM', 'SYNCHRONOISE', 'CROSS_CHOP', 'LIQUIDATION']",,,,,,,,,,,0055,POKEMON_GOLDUCK
MANKEY,FIGHTING,,148.0,82.0,120.0,0.5,28.0,50.0,3.0,50000.0,50.0,3000.0,3.0,"['KARATE_CHOP_FAST', 'SCRATCH_FAST']","['CROSS_CHOP', 'LOW_SWEEP', 'BRICK_BREAK']",,,,,,,,,,,0056,POKEMON_MANKEY
PRIMEAPE,FIGHTING,,207.0,138.0,163.0,1.0,32.0,,3.0,50000.0,50.0,3000.0,3.0,"['LOW_KICK_FAST', 'COUNTER_FAST']","['CLOSE_COMBAT', 'LOW_SWEEP', 'NIGHT_SLASH', 'ICE_PUNCH']",['KARATE_CHOP_FAST'],"['CROSS_CHOP', 'RAGE_FIST']",,,,,,,,,0057,POKEMON_PRIMEAPE
GROWLITHE,FIRE,,136.0,93.0,146.0,0.7,19.0,50.0,3.0,50000.0,50.0,3000.0,3.0,"['EMBER_FAST', 'BITE_FAST']","['FLAME_WHEEL', 'BODY_SLAM', 'FLAMETHROWER']",,,,,,,,,,,0058,POKEMON_GROWLITHE
GROWLITHE,FIRE,ROCK,142.0,92.0,155.0,0.8,22.7,50.0,3.0,50000.0,50.0,3000.0,3.0,"['EMBER_FAST', 'BITE_FAST']","['ROCK_SLIDE', 'CRUNCH', 'FLAMETHROWER']",,,,,,,,,,,0058,POKEMON_GROWLITHE_HISUIAN
ARCANINE,FIRE,,227.0,166.0,207.0,1.9,155.0,,3.0,50000.0,50.0,3000.0,3.0,"['FIRE_FANG_FAST', 'SNARL_FAST', 'THUNDER_FANG_FAST']","['FIRE_BLAST', 'WILD_CHARGE', 'CRUNCH', 'FLAMETHROWER', 'PSYCHIC_FANGS', 'SCORCHING_SANDS']",['BITE_FAST'],['BULLDOZE'],,,,,,,,,0059,POKEMON_ARCANINE
ARCANINE,FIRE,ROCK,232.0,165.0,216.0,2.0,168.0,,3.0,50000.0,50.0,3000.0,3.0,"['FIRE_FANG_FAST', 'SNARL_FAST', 'ROCK_SMASH_FAST']","['ROCK_SLIDE', 'WILD_CHARGE', 'CRUNCH', 'FLAMETHROWER']",,,,,,,,,,,0059,POKEMON_ARCANINE_HISUIAN
POLIWAG,WATER,,101.0,82.0,120.0,0.6,12.4,25.0,3.0,50000.0,50.0,3000.0,3.0,"['BUBBLE_FAST', 'MUD_SHOT_FAST']","['BUBBLE_BEAM', 'MUD_BOMB', 'BODY_SLAM']",,,,,,,,,,,0060,POKEMON_POLIWAG
POLIWHIRL,WATER,,130.0,123.0,163.0,1.0,20.0,100.0,3.0,50000.0,50.0,3000.0,3.0,"['BUBBLE_FAST', 'MUD_SHOT_FAST']","['WATER_PULSE', 'MUD_BOMB', 'BUBBLE_BEAM']",,['SCALD'],,,,,,,,,0061,POKEMON_POLIWHIRL
POLIWRATH,WATER,FIGHTING,182.0,184.0,207.0,1.3,54.0,,3.0,50000.0,50.0,3000.0,3.0,"['BUBBLE_FAST', 'ROCK_SMASH_FAST', 'MUD_SHOT_FAST']","['HYDRO_PUMP', 'DYNAMIC_PUNCH', 'ICE_PUNCH', 'POWER_UP_PUNCH', 'SCALD', 'ICY_WIND']",['COUNTER_FAST'],['SUBMISSION'],,,,,,,,,0062,POKEMON_POLIWRATH
ABRA,PSYCHIC,,195.0,82.0,93.0,0.9,19.5,25.0,3.0,50000.0,50.0,3000.0,3.0,"['ZEN_HEADBUTT_FAST', 'CHARGE_BEAM_FAST']","['PSYSHOCK', 'SIGNAL_BEAM', 'SHADOW_BALL']",,,,,,,,,,,0063,POKEMON_ABRA
KADABRA,PSYCHIC,,232.0,117.0,120.0,1.3,56.5,100.0,3.0,50000.0,50.0,3000.0,3.0,"['PSYCHO_CUT_FAST', 'CONFUSION_FAST']","['PSYBEAM', 'DAZZLING_GLEAM', 'SHADOW_BALL']",,,,,,,,,,,0064,POKEMON_KADABRA
ALAKAZAM,PSYCHIC,,271.0,167.0,146.0,1.5,48.0,,3.0,50000.0,50.0,3000.0,3.0,"['PSYCHO_CUT_FAST', 'CONFUSION_FAST']","['FUTURESIGHT', 'FOCUS_BLAST', 'SHADOW_BALL', 'FIRE_PUNCH']",['COUNTER_FAST'],"['DAZZLING_GLEAM', 'PSYCHIC']",MEGA,367.0,207.0,146.0,1.2,48.0,PSYCHIC,,0065,POKEMON_ALAKAZAM
MACHOP,FIGHTING,,137.0,82.0,172.0,0.8,19.5,25.0,3.0,50000.0,50.0,3000.0,3.0,"['ROCK_SMASH_FAST', 'KARATE_CHOP_FAST']","['LOW_SWEEP', 'BRICK_BREAK', 'CROSS_CHOP']",['LOW_KICK_FAST'],,,,,,,,,,0066,POKEMON_MACHOP
