,pokemonId,type,type2,baseAttack,baseDefense,baseStamina,pokedexHeightM,pokedexWeightKg,candyToEvolve,kmBuddyDistance,thirdMoveStardustToUnlock,thirdMoveCandyToUnlock,shadowPurificationStardustNeeded,shadowPurificationCandyNeeded,megaId,megaAttack,megaDefense,megaStamina,megaHeightM,megaWeightKg,megaType1,megaType2,quickMoves,cinematicMoves,pokedexNumber,region,eliteQuickMove?,eliteCinematicMove?
19,VENUSAUR,GRASS,POISON,198.0,189.0,190.0,2.0,100.0,,3.0,10000.0,25.0,3000.0,3.0,MEGA,241.0,246.0,190.0,2.4,155.5,GRASS,POISON,VINE WHIP,FRENZY PLANT,3,KANTO,False,True
20,CHARMANDER,FIRE,,116.0,93.0,118.0,0.6,8.5,25.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,EMBER,FLAME CHARGE,4,KANTO,False,False
21,CHARMANDER,FIRE,,116.0,93.0,118.0,0.6,8.5,25.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,EMBER,FLAME BURST,4,KANTO,False,False
22,CHARMANDER,FIRE,,116.0,93.0,118.0,0.6,8.5,25.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,EMBER,FLAMETHROWER,4,KANTO,False,False
23,CHARMANDER,FIRE,,116.0,93.0,118.0,0.6,8.5,25.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,SCRATCH,FLAME CHARGE,4,KANTO,False,False
24,CHARMANDER,FIRE,,116.0,93.0,118.0,0.6,8.5,25.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,SCRATCH,FLAME BURST,4,KANTO,False,False
25,CHARMANDER,FIRE,,116.0,93.0,118.0,0.6,8.5,25.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,SCRATCH,FLAMETHROWER,4,KANTO,False,False
26,CHARMELEON,FIRE,,158.0,126.0,151.0,1.1,19.0,100.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,EMBER,FIRE PUNCH,5,KANTO,False,False
27,CHARMELEON,FIRE,,158.0,126.0,151.0,1.1,19.0,100.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,EMBER,FLAME BURST,5,KANTO,False,False
28,CHARMELEON,FIRE,,158.0,126.0,151.0,1.1,19.0,100.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,EMBER,FLAMETHROWER,5,KANTO,False,False
29,CHARMELEON,FIRE,,158.0,126.0,151.0,1.1,19.0,100.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,FIRE FANG,FIRE PUNCH,5,KANTO,False,False
30,CHARMELEON,FIRE,,158.0,126.0,151.0,1.1,19.0,100.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,FIRE FANG,FLAME BURST,5,KANTO,False,False
31,CHARMELEON,FIRE,,158.0,126.0,151.0,1.1,19.0,100.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,FIRE FANG,FLAMETHROWER,5,KANTO,False,False
32,CHARMELEON,FIRE,,158.0,126.0,151.0,1.1,19.0,100.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,SCRATCH,FIRE PUNCH,5,KANTO,True,False
33,CHARMELEON,FIRE,,158.0,126.0,151.0,1.1,19.0,100.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,SCRATCH,FLAME BURST,5,KANTO,True,False
34,CHARMELEON,FIRE,,158.0,126.0,151.0,1.1,19.0,100.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,SCRATCH,FLAMETHROWER,5,KANTO,True,False
35,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,FIRE SPIN,FIRE BLAST,6,KANTO,False,False
36,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,FIRE SPIN,DRAGON CLAW,6,KANTO,False,False
37,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,FIRE SPIN,OVERHEAT,6,KANTO,False,False
38,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,FIRE SPIN,BLAST BURN,6,KANTO,False,True
39,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,FIRE SPIN,FLAMETHROWER,6,KANTO,False,True
40,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,AIR SLASH,FIRE BLAST,6,KANTO,False,False
41,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,AIR SLASH,DRAGON CLAW,6,KANTO,False,False
42,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,AIR SLASH,OVERHEAT,6,KANTO,False,False
43,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,AIR SLASH,BLAST BURN,6,KANTO,False,True
44,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,AIR SLASH,FLAMETHROWER,6,KANTO,False,True
45,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,EMBER,FIRE BLAST,6,KANTO,True,False
46,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,EMBER,DRAGON CLAW,6,KANTO,True,False
47,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,EMBER,OVERHEAT,6,KANTO,True,False
48,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,EMBER,BLAST BURN,6,KANTO,True,True
49,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,EMBER,FLAMETHROWER,6,KANTO,True,True
50,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,WING ATTACK,FIRE BLAST,6,KANTO,True,False
51,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,WING ATTACK,DRAGON CLAW,6,KANTO,True,False
52,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,WING ATTACK,OVERHEAT,6,KANTO,True,False
53,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,WING ATTACK,BLAST BURN,6,KANTO,True,True
54,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,WING ATTACK,FLAMETHROWER,6,KANTO,True,True
55,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,DRAGON BREATH,FIRE BLAST,6,KANTO,True,False
56,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,DRAGON BREATH,DRAGON CLAW,6,KANTO,True,False
57,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,DRAGON BREATH,OVERHEAT,6,KANTO,True,False
58,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,DRAGON BREATH,BLAST BURN,6,KANTO,True,True
59,CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,DRAGON BREATH,FLAMETHROWER,6,KANTO,True,True
60,SQUIRTLE,WATER,,94.0,121.0,127.0,0.5,9.0,25.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,BUBBLE,AQUA JET,7,KANTO,False,False
61,SQUIRTLE,WATER,,94.0,121.0,127.0,0.5,9.0,25.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,BUBBLE,AQUA TAIL,7,KANTO,False,False
62,SQUIRTLE,WATER,,94.0,121.0,127.0,0.5,9.0,25.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,BUBBLE,WATER PULSE,7,KANTO,False,False
63,SQUIRTLE,WATER,,94.0,121.0,127.0,0.5,9.0,25.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,TACKLE,AQUA JET,7,KANTO,False,False
64,SQUIRTLE,WATER,,94.0,121.0,127.0,0.5,9.0,25.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,TACKLE,AQUA TAIL,7,KANTO,False,False
65,SQUIRTLE,WATER,,94.0,121.0,127.0,0.5,9.0,25.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,TACKLE,WATER PULSE,7,KANTO,False,False
66,WARTORTLE,WATER,,126.0,155.0,153.0,1.0,22.5,100.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,WATER GUN,AQUA JET,8,KANTO,False,False
67,WARTORTLE,WATER,,126.0,155.0,153.0,1.0,22.5,100.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,WATER GUN,ICE BEAM,8,KANTO,False,False
68,WARTORTLE,WATER,,126.0,155.0,153.0,1.0,22.5,100.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,WATER GUN,HYDRO PUMP,8,KANTO,False,False
69,WARTORTLE,WATER,,126.0,155.0,153.0,1.0,22.5,100.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,BITE,AQUA JET,8,KANTO,False,False
70,WARTORTLE,WATER,,126.0,155.0,153.0,1.0,22.5,100.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,BITE,ICE BEAM,8,KANTO,False,False
71,WARTORTLE,WATER,,126.0,155.0,153.0,1.0,22.5,100.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,BITE,HYDRO PUMP,8,KANTO,False,False
72,BLASTOISE,WATER,,171.0,207.0,188.0,1.6,85.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA,264.0,237.0,188.0,1.6,101.1,WATER,,WATER GUN,FLASH CANNON,9,KANTO,False,False
73,BLASTOISE,WATER,,171.0,207.0,188.0,1.6,85.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA,264.0,237.0,188.0,1.6,101.1,WATER,,WATER GUN,ICE BEAM,9,KANTO,False,False
74,BLASTOISE,WATER,,171.0,207.0,188.0,1.6,85.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA,264.0,237.0,188.0,1.6,101.1,WATER,,WATER GUN,HYDRO PUMP,9,KANTO,False,False
75,BLASTOISE,WATER,,171.0,207.0,188.0,1.6,85.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA,264.0,237.0,188.0,1.6,101.1,WATER,,WATER GUN,SKULL BASH,9,KANTO,False,False
76,BLASTOISE,WATER,,171.0,207.0,188.0,1.6,85.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA,264.0,237.0,188.0,1.6,101.1,WATER,,WATER GUN,HYDRO CANNON,9,KANTO,False,True
77,BLASTOISE,WATER,,171.0,207.0,188.0,1.6,85.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA,264.0,237.0,188.0,1.6,101.1,WATER,,BITE,FLASH CANNON,9,KANTO,False,False
78,BLASTOISE,WATER,,171.0,207.0,188.0,1.6,85.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA,264.0,237.0,188.0,1.6,101.1,WATER,,BITE,ICE BEAM,9,KANTO,False,False
79,BLASTOISE,WATER,,171.0,207.0,188.0,1.6,85.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA,264.0,237.0,188.0,1.6,101.1,WATER,,BITE,HYDRO PUMP,9,KANTO,False,False
80,BLASTOISE,WATER,,171.0,207.0,188.0,1.6,85.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA,264.0,237.0,188.0,1.6,101.1,WATER,,BITE,SKULL BASH,9,KANTO,False,False
81,BLASTOISE,WATER,,171.0,207.0,188.0,1.6,85.5,,3.0,10000.0,25.0,3000.0,3.0,MEGA,264.0,237.0,188.0,1.6,101.1,WATER,,BITE,HYDRO CANNON,9,KANTO,False,True
82,CATERPIE,BUG,,55.0,55.0,128.0,0.3,2.9,12.0,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,BUG BITE,STRUGGLE,10,KANTO,False,False
83,CATERPIE,BUG,,55.0,55.0,128.0,0.3,2.9,12.0,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,TACKLE,STRUGGLE,10,KANTO,False,False
84,METAPOD,BUG,,45.0,80.0,137.0,0.7,9.9,50.0,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,BUG BITE,STRUGGLE,11,KANTO,False,False
85,METAPOD,BUG,,45.0,80.0,137.0,0.7,9.9,50.0,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,TACKLE,STRUGGLE,11,KANTO,False,False
86,BUTTERFREE,BUG,FLYING,167.0,137.0,155.0,1.1,32.0,,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,STRUGGLE BUG,BUG BUZZ,12,KANTO,False,False
87,BUTTERFREE,BUG,FLYING,167.0,137.0,155.0,1.1,32.0,,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,STRUGGLE BUG,PSYCHIC,12,KANTO,False,False
88,BUTTERFREE,BUG,FLYING,167.0,137.0,155.0,1.1,32.0,,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,STRUGGLE BUG,SIGNAL BEAM,12,KANTO,False,False
89,BUTTERFREE,BUG,FLYING,167.0,137.0,155.0,1.1,32.0,,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,CONFUSION,BUG BUZZ,12,KANTO,False,False
90,BUTTERFREE,BUG,FLYING,167.0,137.0,155.0,1.1,32.0,,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,CONFUSION,PSYCHIC,12,KANTO,False,False
91,BUTTERFREE,BUG,FLYING,167.0,137.0,155.0,1.1,32.0,,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,CONFUSION,SIGNAL BEAM,12,KANTO,False,False
92,BUTTERFREE,BUG,FLYING,167.0,137.0,155.0,1.1,32.0,,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,BUG BITE,BUG BUZZ,12,KANTO,True,False
93,BUTTERFREE,BUG,FLYING,167.0,137.0,155.0,1.1,32.0,,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,BUG BITE,PSYCHIC,12,KANTO,True,False
94,BUTTERFREE,BUG,FLYING,167.0,137.0,155.0,1.1,32.0,,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,BUG BITE,SIGNAL BEAM,12,KANTO,True,False
95,WEEDLE,BUG,POISON,63.0,50.0,120.0,0.3,3.2,12.0,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,BUG BITE,STRUGGLE,13,KANTO,False,False
96,WEEDLE,BUG,POISON,63.0,50.0,120.0,0.3,3.2,12.0,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,POISON STING,STRUGGLE,13,KANTO,False,False
97,KAKUNA,BUG,POISON,46.0,75.0,128.0,0.6,10.0,50.0,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,BUG BITE,STRUGGLE,14,KANTO,False,False
98,KAKUNA,BUG,POISON,46.0,75.0,128.0,0.6,10.0,50.0,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,POISON STING,STRUGGLE,14,KANTO,False,False
99,BEEDRILL,BUG,POISON,169.0,130.0,163.0,1.0,29.5,,1.0,10000.0,25.0,1000.0,1.0,MEGA,303.0,148.0,163.0,1.4,40.5,BUG,POISON,INFESTATION,SLUDGE BOMB,15,KANTO,False,False
100,BEEDRILL,BUG,POISON,169.0,130.0,163.0,1.0,29.5,,1.0,10000.0,25.0,1000.0,1.0,MEGA,303.0,148.0,163.0,1.4,40.5,BUG,POISON,INFESTATION,AERIAL ACE,15,KANTO,False,False
101,BEEDRILL,BUG,POISON,169.0,130.0,163.0,1.0,29.5,,1.0,10000.0,25.0,1000.0,1.0,MEGA,303.0,148.0,163.0,1.4,40.5,BUG,POISON,INFESTATION,X SCISSOR,15,KANTO,False,False
102,BEEDRILL,BUG,POISON,169.0,130.0,163.0,1.0,29.5,,1.0,10000.0,25.0,1000.0,1.0,MEGA,303.0,148.0,163.0,1.4,40.5,BUG,POISON,INFESTATION,FELL STINGER,15,KANTO,False,False
103,BEEDRILL,BUG,POISON,169.0,130.0,163.0,1.0,29.5,,1.0,10000.0,25.0,1000.0,1.0,MEGA,303.0,148.0,163.0,1.4,40.5,BUG,POISON,INFESTATION,DRILL RUN,15,KANTO,False,True
104,BEEDRILL,BUG,POISON,169.0,130.0,163.0,1.0,29.5,,1.0,10000.0,25.0,1000.0,1.0,MEGA,303.0,148.0,163.0,1.4,40.5,BUG,POISON,POISON JAB,SLUDGE BOMB,15,KANTO,False,False
105,BEEDRILL,BUG,POISON,169.0,130.0,163.0,1.0,29.5,,1.0,10000.0,25.0,1000.0,1.0,MEGA,303.0,148.0,163.0,1.4,40.5,BUG,POISON,POISON JAB,AERIAL ACE,15,KANTO,False,False
106,BEEDRILL,BUG,POISON,169.0,130.0,163.0,1.0,29.5,,1.0,10000.0,25.0,1000.0,1.0,MEGA,303.0,148.0,163.0,1.4,40.5,BUG,POISON,POISON JAB,X SCISSOR,15,KANTO,False,False
107,BEEDRILL,BUG,POISON,169.0,130.0,163.0,1.0,29.5,,1.0,10000.0,25.0,1000.0,1.0,MEGA,303.0,148.0,163.0,1.4,40.5,BUG,POISON,POISON JAB,FELL STINGER,15,KANTO,False,False
108,BEEDRILL,BUG,POISON,169.0,130.0,163.0,1.0,29.5,,1.0,10000.0,25.0,1000.0,1.0,MEGA,303.0,148.0,163.0,1.4,40.5,BUG,POISON,POISON JAB,DRILL RUN,15,KANTO,False,True
109,BEEDRILL,BUG,POISON,169.0,130.0,163.0,1.0,29.5,,1.0,10000.0,25.0,1000.0,1.0,MEGA,303.0,148.0,163.0,1.4,40.5,BUG,POISON,BUG BITE,SLUDGE BOMB,15,KANTO,True,False
110,BEEDRILL,BUG,POISON,169.0,130.0,163.0,1.0,29.5,,1.0,10000.0,25.0,1000.0,1.0,MEGA,303.0,148.0,163.0,1.4,40.5,BUG,POISON,BUG BITE,AERIAL ACE,15,KANTO,True,False
111,BEEDRILL,BUG,POISON,169.0,130.0,163.0,1.0,29.5,,1.0,10000.0,25.0,1000.0,1.0,MEGA,303.0,148.0,163.0,1.4,40.5,BUG,POISON,BUG BITE,X SCISSOR,15,KANTO,True,False
112,BEEDRILL,BUG,POISON,169.0,130.0,163.0,1.0,29.5,,1.0,10000.0,25.0,1000.0,1.0,MEGA,303.0,148.0,163.0,1.4,40.5,BUG,POISON,BUG BITE,FELL STINGER,15,KANTO,True,False
113,BEEDRILL,BUG,POISON,169.0,130.0,163.0,1.0,29.5,,1.0,10000.0,25.0,1000.0,1.0,MEGA,303.0,148.0,163.0,1.4,40.5,BUG,POISON,BUG BITE,DRILL RUN,15,KANTO,True,True
114,PIDGEY,NORMAL,FLYING,85.0,73.0,120.0,0.3,1.8,12.0,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,QUICK ATTACK,TWISTER,16,KANTO,False,False
115,PIDGEY,NORMAL,FLYING,85.0,73.0,120.0,0.3,1.8,12.0,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,QUICK ATTACK,AERIAL ACE,16,KANTO,False,False
116,PIDGEY,NORMAL,FLYING,85.0,73.0,120.0,0.3,1.8,12.0,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,QUICK ATTACK,AIR CUTTER,16,KANTO,False,False
117,PIDGEY,NORMAL,FLYING,85.0,73.0,120.0,0.3,1.8,12.0,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,TACKLE,TWISTER,16,KANTO,False,False
118,PIDGEY,NORMAL,FLYING,85.0,73.0,120.0,0.3,1.8,12.0,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,TACKLE,AERIAL ACE,16,KANTO,False,False
119,PIDGEY,NORMAL,FLYING,85.0,73.0,120.0,0.3,1.8,12.0,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,TACKLE,AIR CUTTER,16,KANTO,False,False
120,PIDGEOTTO,NORMAL,FLYING,117.0,105.0,160.0,1.1,30.0,50.0,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,WING ATTACK,TWISTER,17,KANTO,False,False
121,PIDGEOTTO,NORMAL,FLYING,117.0,105.0,160.0,1.1,30.0,50.0,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,WING ATTACK,AERIAL ACE,17,KANTO,False,False
122,PIDGEOTTO,NORMAL,FLYING,117.0,105.0,160.0,1.1,30.0,50.0,1.0,10000.0,25.0,1000.0,1.0,,,,,,,,,WING ATTACK,AIR CUTTER,17,KANTO,False,False
